,name,url,img_url,people,rank,genre,country,runtime
0,시민덕희,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화시민덕희,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240124_126%2F1706084548964mScff_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,20만명,8.82,드라마,['대한민국'],114분
1,외계+인2부,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화외계+인2부,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231215_228%2F1702622558194p8LNL_PNG%2Fmovie_image.jpg%3Ftype%3Dw640_2,120만명,8.27,로맨스,['대한민국'],122분
2,위시,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화위시,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231218_177%2F1702882813453yUlWQ_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,127만명,7.25,애니메이션,['미국'],95분
3,도그맨,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화도그맨,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240124_70%2F1706080338377RMuDX_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2.1만명,7.43,드라마,"['프랑스, 미국']",115분
4,서울의봄,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화서울의봄,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231108_128%2F1699411327204OxmAK_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"1,299만명",9.53,드라마,['대한민국'],141분
5,인투더월드,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화인투더월드,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231207_111%2F1701930797341EvEGh_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,27만명,8.79,애니메이션,['미국'],91분
6,노량:죽음의바다,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화노량:죽음의바다,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231221_48%2F1703131000122aHqgi_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,453만명,8.34,액션,['대한민국'],153분
7,신차원!짱구는못말려더무비초능력대결전~날아라수제김밥~,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화신차원!짱구는못말려더무비초능력대결전~날아라수제김밥~,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231224_57%2F1703386715452eup8d_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,88만명,8.02,애니메이션,['일본'],94분
8,괴물,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화괴물,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231130_162%2F1701308134241kbHHU_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,48만명,9.04,드라마,['일본'],127분
9,세기말의사랑,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화세기말의사랑,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231227_150%2F1703666348879QfXV6_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"6,225명",8.58,드라마,['대한민국'],116분
10,상견니,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화상견니,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240115_93%2F1705289276026PLfkL_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,36만명,7.59,드라마,['대만'],107분
11,길위에김대중,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화길위에김대중,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231219_282%2F1702970750717KV2iY_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,10만명,9.78,다큐멘터리,['대한민국'],126분
12,지오디마스터피스더무비,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화지오디마스터피스더무비,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240109_16%2F1704789849943LPVgM_PNG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2.6만명,9.75,공연실황,['대한민국'],108분
13,스즈메의문단속,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화스즈메의문단속,https://search.pstatic.net/common?type=f&size=174x196&quality=75&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F162%2F202306191339016331.jpg,4.1만명,8.46,애니메이션,['일본'],122분
14,엔드오브에반게리온,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화엔드오브에반게리온,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111221_72%2F13244566587358uhiH_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2.1만명,9.04,애니메이션,['일본'],87분
15,덤머니,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화덤머니,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240118_124%2F1705562181777eg0lD_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,3.2만명,7.92,코미디,['미국'],105분
16,나의올드오크,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화나의올드오크,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231221_237%2F1703134164081VeyAv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,1.3만명,7.76,드라마,"['영국, 프랑스, 벨기에']",113분
17,클럽제로,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화클럽제로,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240108_283%2F1704684895636nCitb_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"2,374명",7.44,미스터리,"['오스트리아, 영국, 독일, 프랑스, 덴마크']",110분
18,걸즈앤판처최종장제4화,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화걸즈앤판처최종장제4화,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240104_176%2F1704356090928Asnt2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"7,328명",8.61,애니메이션,['일본'],53분
19,극장판아이돌리쉬세븐:라이브4비트비욘드더피리어드-데이2,https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=영화극장판아이돌리쉬세븐:라이브4비트비욘드더피리어드-데이2,https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20231016_98%2F1697437081441L8A7G_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,3.3만명,9.48,애니메이션,['일본'],94분
